A0_EV	A1_EV	A2_EV	DBCO	Stroke	T_EV
Catspere2	0.00084123585194249	15	0.000890899122807017	0.00560344827586207	0.00689784912522732	0.00367942199625368
Gm37313	0	0	0	0	0	0
Gm25312	0	0	0	0	0.000125415438640497	0
Gm8010	0	0	0	0	0	0
Pax3	0.000458855919241358	13	0.000753837719298246	0.00617816091954023	0.00332350912397316	0.00341182766925341
Gm2102	0	0	6.8530701754386e-05	0	6.27077193202483e-05	0
Bivm	0.00948302233098807	149	0.00911458333333333	0.0410201149425287	0.046215589139023	0.0388680759967889
Sgpp2	0.0200367084735393	235	0.0159676535087719	0.00933908045977012	0.0215714554461654	0.0194005887075194
Gm28410	0	0	0	0	6.27077193202483e-05	0.000133797163500134
Gm37884	0.000305903946160905	6	0.00034265350877193	0.000933908045977011	0.00112873894776447	0.00153866738025154
Desi2	0.170312022025084	2362	0.156181469298246	0.269755747126437	0.263936790618925	0.28043885469628
Gm8023	0	0	0	0.00028735632183908	0.000125415438640497	0.000200695745250201
4930527J03Rik	0	2	0.000137061403508772	0.00021551724137931	0.000188123157960745	0.000133797163500134
Gm37486	0.000458855919241358	8	0	0.000502873563218391	0.000313538596601242	0.000468290072250468
B230369F24Rik	0.00558274701743653	88	0.00541392543859649	0.0163793103448276	0.018937731234715	0.0152528766390153
Cox20	0.320740287549709	5381	0.302631578947368	0.359626436781609	0.293409418699442	0.316028900187316
Ercc5	0.0546038543897216	692	0.0480400219298246	0.202083333333333	0.205430488493134	0.166711265721167
Mettl21e	0	0	0	0	6.27077193202483e-05	0
Gm15833	0	0	0	0	0	6.68985817500669e-05
Gm5700	0	0	0	0	0	0
Gm28893	0	0	0	0	0	0
Txn-ps1	0.000535331905781585	7	0.000616776315789474	0.00021551724137931	0.000501661754561987	0.000735884399250736
Farsb	0.038161517283573	568	0.036938048245614	0.140086206896552	0.117514266006145	0.164570511105165
Gm28995	0	0	0	0	6.27077193202483e-05	0
4833412K13Rik	0.00367084735393087	32	0.00260416666666667	0.0228448275862069	0.0211952091302439	0.0294353759700294
BC035947	0	1	0	0	6.27077193202483e-05	0
Rgl1	0.063857448761089	909	0.0696957236842105	0.208261494252874	0.2019188562112	0.204709660155205
Gm15479	7.64759865402264e-05	1	6.8530701754386e-05	7.18390804597701e-05	0	0
Gm7278	0.000458855919241358	13	0.00034265350877193	0.00308908045977011	0.00206935473756819	0.00214075461600214
Gm28792	0.000152951973080453	0	0	0.00136494252873563	0.000815200351163228	0.00127107305325127
Apobec4	0	0	0	0.00021551724137931	0	0.000133797163500134
Mogat1	0.00244723156928724	34	0.00143914473684211	0.00251436781609195	0.0018185238602872	0.00354562483275355
Arpc5	0.509483022330988	7322	0.464912280701754	1.11099137931034	0.839719069417445	1.0459593256623
5730419F03Rik	0	1	0	0.000359195402298851	6.27077193202483e-05	0.000133797163500134
Gm29611	0	0	0	0	0	0
Gulp1	0.0172070969715509	144	0.0142543859649123	0.0280172413793103	0.0331096758010911	0.0272946213540273
Gm37626	0.000764759865402264	6	0.00109649122807018	0.00625	0.00771304947639054	0.00501739363125502
Gm16102	0	1	0	0	0.000125415438640497	6.68985817500669e-05
4930521E06Rik	0	0	0	0	0	0
Gm38110	0.000152951973080453	0	0.000137061403508772	0.000718390804597701	0.000564369473882235	0.000334492908750335
Gm3489	0	0	0	0	0	6.68985817500669e-05
Gm19480	0	0	0	0	0	0
Gm3496	0	0	0	0	0	0
Gm5268	0	0	0	0	0	0
Hnrnpu	0.485698990516978	5703	0.455660635964912	2.08117816091954	1.94563240734934	1.92480599411292
Gm38300	0.000535331905781585	6	0.000548245614035088	0.00280172413793103	0.00238289333416944	0.00301043617875301
ENSMUSG00002075531	0	0	0	0	0	0
Gm24919	0	0	0	0	6.27077193202483e-05	0
Efcab2	0.0263077393698379	552	0.0313185307017544	0.0566091954022988	0.0424531259798081	0.050976719293551
Acsl3	0.299556439278067	2974	0.203604714912281	1.25043103448276	1.52110114755126	0.995450896440995
Ncf2	0.235698990516978	3140	0.240131578947368	0.981681034482759	0.837775130118518	0.923802515386674
Kif26b	0.00107066381156317	29	0.00171326754385965	0.00366379310344828	0.00244560105348968	0.00254214610650254
Gm24405	0	0	0	0	0	0
Gm34176	0	0	0	0	0	0
Sgk3	0.0845059651269501	1079	0.100671600877193	0.197629310344828	0.202420517965762	0.17975648916243
Gm16564	0	0	0	0	0	0
Utp14b	0.0256959314775161	287	0.0241228070175439	0.235704022988506	0.255659371668652	0.15962001605566
Gm6159	0	3	0.000137061403508772	0.00021551724137931	0.000125415438640497	0
Gm29536	0	0	0	0	0	0
Kcne4	0.000994187825022943	12	0.00150767543859649	0.00323275862068966	0.00501661754561987	0.0118410489697618
Gm29187	0	0	6.8530701754386e-05	0	0	0
Gm5830	0	0	0	0	6.27077193202483e-05	0
Gm6195	0	0	0	7.18390804597701e-05	6.27077193202483e-05	6.68985817500669e-05
U6	0	0	0	7.18390804597701e-05	6.27077193202483e-05	0
Scg2	0.00489446313857449	109	0.00979989035087719	0.0353448275862069	0.0218849940427667	0.00702435108375702
Gm19027	0	0	0	0	0	0
Gm24160	0	0	0	0	0	0
Smyd3	0.0315081064545733	463	0.0285773026315789	0.0878591954022988	0.083087728099329	0.0864998662028365
Ap1s3	0.00267665952890792	38	0.00198739035087719	0.0118534482758621	0.00489120210697937	0.0123093390420123
Gm5561	7.64759865402264e-05	1	0.000274122807017544	0.00014367816091954	6.27077193202483e-05	0.000200695745250201
Gm37886	0	1	0	0.00021551724137931	6.27077193202483e-05	6.68985817500669e-05
Tfb2m	0.0185071887427348	261	0.0173382675438596	0.0823275862068965	0.0750611400263372	0.0853625903130854
Gm15480	0	0	0	0	6.27077193202483e-05	0
Cnst	0.0284490669929642	353	0.0251507675438596	0.0828304597701149	0.0697936916034364	0.0786058335563286
Col3a1	0.0230957479351484	249	0.0973135964912281	0.289655172413793	0.130494763905437	0.662028364998662
Mcmdc2	0.000382379932701132	5	0.000479714912280702	0.0028735632183908	0.00250830877280993	0.00180626170725181
