GeneSym	17-002	17-006	17-019	17-023	17-026	17-027	17-030	17-034	17-040	17-041	17-042	17-043	17-045	17-047	17-054	17-055	17-057	17-058	17-060	17-061
ABCA1	181.019336	284.0497848	59.71411146	167.7303557	153.2772742	109.1372661	57.68002961	146.0177556	467.8817025	156.4979555	374.8059382	173.6453539	102.5369443	207.9366135	280.1391875	248.9996665	238.8564458	171.254727	218.2745323	103.9683067
ABCA10	20.53481436	23.58830748	25.28132198	26.90868529	22.94328397	25.45716748	23.75237713	22.16175149	24.42014734	25.28132198	24.08394796	23.42537114	22.16175149	23.26356028	25.8125363	23.91758798	24.42014734	23.42537114	22.00866909	22.94328397
ABCA11	25.8125363	22.00866909	20.2521055	21.40684088	22.94328397	20.82146969	22.47111801	21.85664411	23.26356028	22.16175149	23.75237713	21.40684088	19.42711815	23.58830748	20.39297004	22.78480313	25.63423608	21.85664411	22.94328397	19.97328878
ABCA12	20.67764529	20.2521055	20.39297004	19.8353232	20.11221399	19.42711815	19.02731384	21.25897303	20.2521055	19.8353232	19.97328878	20.53481436	20.67764529	18.76535919	19.42711815	19.15965927	20.82146969	19.42711815	20.53481436	20.2521055
ABCA13	19.29292524	20.11221399	19.8353232	20.11221399	19.8353232	19.42711815	19.8353232	20.67764529	18.50701094	19.29292524	19.42711815	19.42711815	20.2521055	19.15965927	20.11221399	18.89588258	19.97328878	20.67764529	19.69831061	19.8353232
ABCA2	24.42014734	22.00866909	32.44670335	22.16175149	21.25897303	23.42537114	25.28132198	20.11221399	30.90996253	25.8125363	20.53481436	22.94328397	28.8400148	21.40684088	20.67764529	22.627417	20.67764529	20.96629446	21.85664411	28.8400148
ABCA3	31.77895985	22.627417	21.70566924	29.44600482	22.47111801	25.63423608	22.00866909	24.42014734	24.7610399	29.04061297	39.12448889	22.31589866	25.63423608	28.8400148	25.45716748	28.24649588	26.72281342	25.28132198	26.72281342	23.75237713
ABCA4	21.40684088	24.7610399	20.11221399	20.96629446	21.85664411	22.00866909	24.93326655	20.67764529	21.25897303	21.55573723	23.26356028	21.40684088	19.56224444	20.96629446	22.47111801	23.26356028	22.31589866	23.10286713	22.47111801	19.97328878
ABCA5	20.67764529	19.97328878	20.82146969	21.40684088	19.97328878	20.2521055	19.56224444	22.31589866	21.25897303	20.96629446	22.31589866	23.26356028	21.25897303	21.25897303	19.69831061	22.16175149	20.67764529	20.67764529	20.39297004	22.00866909
ABCA6	21.55573723	24.42014734	30.06472797	41.64293937	22.31589866	25.63423608	25.45716748	22.47111801	23.10286713	29.04061297	33.8245773	25.28132198	23.75237713	20.2521055	21.55573723	29.24260641	32.67238802	32.67238802	21.70566924	32.2225776
ABCA7	34.53530357	98.3600116	103.9683067	61.39290364	54.56863307	52.34573175	50.21338227	65.79928491	73.51669472	75.58353033	53.07645093	57.68002961	69.5510312	82.13925744	69.5510312	75.58353033	71.01244621	100.4267645	65.34477605	60.54768939
